id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
152;46;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;movies;action;comedy;fantasy;3-4 episodes;yes;;;other platforms;prime video
153;54;female;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;sport;drama;comedy;action;one-2 episodes;yes;;;no need;8.0
154;25;female;single;Campania;master's degree;job seeker;si;over 24 months ;7;premium;;si;;netflix;very much;very;enough;;tv series;thriller;romantic;drama;5-6 episodes;no;early evening;contents;;
155;44;female;separated;Lombardia;lower secondary school diploma;employed;si;over 24 months ;7;standard;;si;;netflix;very much;very much;very much;;tv series;comedy;drama;thriller;5-6 episodes;yes;early afternoon;personalization;;
156;49;female;married;Campania;upper secondary school diploma;homemaker;no;;;;;;;;;;;don't know;tv series;romantic;comedy;fantasy;one-2 episodes;no;;;price;
157;70;male;married;Campania;upper secondary school diploma;retired;no;;;;;;;;;;;don't know;sport;comedy;action;drama;single episode;no;;;price;
158;37;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;action;drama;comedy;5-6 episodes;no;;;price;
159;58;female;married;Campania;master's degree;employed;si;over 24 months ;5;premium;family;si;;netflix;very much;very much;a little;;movies;action;drama;romantic;one-2 episodes;yes;late evening;nothing;;disney plus
160;67;female;married;Campania;master's degree;retired;no;;;;;;;;;;;no;documentaries;drama;action;comedy;single episode;no;;;price;
161;44;female;single;Campania;master's degree;employed;no;;;;;;;;;;;no;other;comedy;action;drama;single episode;no;;;no need;
162;57;female;married;Lazio;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;other;comedy;action;drama;single episode;yes;;;no need;prime video
163;59;male;married;Lazio;upper secondary school diploma;employed;no;;;;;;;;;;;no;documentaries;action;comedy;drama;single episode;yes;;;other platforms;others
